end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std,start_mvt
564.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-320.0,-581.8412698412699,-1513.0,170.670424365794,1302.0,997.1587301587301,511.0,157.73847346562192,2733.0,1629.952380952381,673.0,267.6941218203023,800.0,-1820.1587301587301,-11130.0,1707.0748250353088,9020.0,5973.142857142857,1110.0,1576.9243631210115,23330.0,12301.444444444445,2730.0,2676.835666674353,501.0
565.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-320.0,-581.6031746031746,-1513.0,170.72743223861713,1274.0,992.8730158730159,511.0,152.91664312292372,2733.0,1630.2539682539682,673.0,267.7346404289364,800.0,-1817.7777777777778,-11130.0,1707.6472537878471,8745.0,5930.285714285715,1110.0,1528.7358516589666,23330.0,12304.460317460318,2730.0,2677.2386702708154,502.0
566.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-320.0,-581.4285714285714,-1513.0,170.77108940613607,1247.0,989.031746031746,511.0,148.72283902246554,2733.0,1630.4126984126983,673.0,267.7573308487487,800.0,-1816.031746031746,-11130.0,1708.0855437542896,8470.0,5891.793650793651,1110.0,1486.6718747540913,23330.0,12306.031746031746,2730.0,2677.464857564346,503.0
1159.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,-502.3968253968254,-793.0,208.175448622344,1627.0,1029.4603174603174,605.0,279.05432615941413,2140.0,1531.2380952380952,905.0,225.2952696470692,5200.0,-1025.126984126984,-3930.0,2082.7587589855625,12270.0,6296.126984126984,2050.0,2790.4286668727573,17400.0,11313.682539682539,5050.0,2253.1307596706615,1096.0
1457.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-327.0,-576.4444444444445,-733.0,114.98047208362591,1628.0,1186.2698412698412,767.0,199.1803532179791,2109.0,1707.063492063492,1168.0,215.81674372365035,730.0,-1765.4603174603174,-3330.0,1149.9531522771508,12280.0,7864.888888888889,3674.0,1991.7552245574682,17090.0,13072.349206349207,7680.0,2158.426750524185,1394.0
1458.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-327.0,-579.6825396825396,-733.0,113.1032678853675,1628.0,1188.7619047619048,767.0,197.84074030731293,2109.0,1716.968253968254,1168.0,207.10609469497857,730.0,-1797.8095238095239,-3330.0,1131.2021275864986,12280.0,7889.809523809524,3674.0,1978.3947293371778,17090.0,13171.396825396825,7680.0,2071.2478671290246,1395.0
2057.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-495.6031746031746,-2436.0,486.3682575222639,1058.0,863.1111111111111,287.0,166.70382381502822,2433.0,1656.2063492063492,931.0,444.4248969075601,10250.0,-956.2539682539683,-20360.0,4864.967025609348,6580.0,4633.222222222223,-1130.0,1667.1785848228005,20330.0,12563.412698412698,5310.0,4444.203722846054,1994.0
2058.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-504.6984126984127,-2436.0,490.00963239119034,1058.0,862.2539682539683,287.0,166.06877396311407,2433.0,1661.111111111111,931.0,440.5711509712142,10250.0,-1047.2063492063492,-20360.0,4901.367041559739,6580.0,4624.650793650793,-1130.0,1660.8396939474005,20330.0,12612.460317460318,5310.0,4405.650604897324,1995.0
2059.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-512.4920634920635,-2436.0,492.31378903244195,1058.0,861.3333333333334,287.0,165.39025208237322,2433.0,1666.5555555555557,931.0,436.4034378570782,10250.0,-1125.142857142857,-20360.0,4924.399088466376,6580.0,4615.476190476191,-1130.0,1654.0848932571093,20330.0,12667.0,5310.0,4363.9199971969565,1996.0
2060.0,burpees_normal_speed_10_TM01L_1534060644190.txt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,-515.4444444444445,-2436.0,492.0823684584424,1058.0,859.4603174603175,287.0,163.8107508974152,2433.0,1674.2380952380952,931.0,431.57560972840247,10250.0,-1154.7301587301588,-20360.0,4922.066731555174,6580.0,4596.603174603175,-1130.0,1638.1421670125576,20330.0,12743.79365079365,5310.0,4315.652749038275,1997.0
