start_mvt,end_mvt,exercise,gyroX_max,gyroX_mean,gyroX_min,gyroX_std,gyroY_max,gyroY_mean,gyroY_min,gyroY_std,gyroZ_max,gyroZ_mean,gyroZ_min,gyroZ_std,highAccelX_max,highAccelX_mean,highAccelX_min,highAccelX_std,highAccelY_max,highAccelY_mean,highAccelY_min,highAccelY_std,highAccelZ_max,highAccelZ_mean,highAccelZ_min,highAccelZ_std,lowAccelX_max,lowAccelX_mean,lowAccelX_min,lowAccelX_std,lowAccelY_max,lowAccelY_mean,lowAccelY_min,lowAccelY_std,lowAccelZ_max,lowAccelZ_mean,lowAccelZ_min,lowAccelZ_std
314,349,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,6469,9.685714286,-6130,2897.223547,7562,174.6857143,-9640,3514.842418,4645,377.7428571,-10546,3838.919328,1925,-432.6571429,-1449,674.9609986,3262,389.5714286,-160,752.1474076,927,477.5142857,-274,246.7763183,23250,-327.8,-10490,6751.292721,28628,-106.2285714,-5600,7524.463429,5274,777.4,-6740,2470.094321
345,380,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7605,-199.4571429,-5688,2901.334869,8195,-248.4,-10366,3587.225507,5278,101.2857143,-11325,4080.558105,1161,-425.8285714,-1260,599.7132886,3319,342.5428571,-282,832.6304647,1135,449.8571429,-251,259.2877283,15615,-259.0285714,-8604,6000.038164,29190,-575.6,-6826,8328.615661,7354,499.6,-6514,2595.539491
346,381,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7605,-188.2285714,-5688,2898.430469,8195,-210.6571429,-10366,3589.250626,5278,109.2,-11325,4082.778183,1161,-429.0285714,-1260,599.8866798,3319,342.8285714,-282,832.4779625,1135,449.2857143,-251,258.9893901,15615,-290.9142857,-8604,6001.783173,29190,-572.5714286,-6826,8326.998058,7354,494,-6514,2592.612332
379,414,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7079,41.2,-5586,3064.371693,8057,-59.28571429,-7266,3002.697058,4432,-79.37142857,-9488,3498.69643,1457,-397.4857143,-1005,532.6308937,3288,343.4,-186,767.5633409,946,426.4857143,-110,188.4165241,18571,23.68571429,-6058,5327.892535,28882,-567.3714286,-5860,7678.061628,5468,265.9142857,-5104,1887.553402
413,448,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,6440,-68.54285714,-5383,3140.043811,9255,-195.9428571,-11190,3878.607777,4528,138.5428571,-9256,3375.792241,1816,-382.7142857,-1054,541.3021105,3133,343.2285714,-230,704.8047742,957,455.9428571,-138,203.9994151,22160,171.7142857,-6542,5415.247724,27330,-568.2285714,-6300,7050.464653,5572,560.7142857,-5386,2042.10541
449,484,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,6856,253.7714286,-3978,2803.022068,9036,45.94285714,-9342,3107.416365,3624,-49.6,-9347,3672.233887,1527,-386.7714286,-1047,534.4993857,2999,377.3428571,-149,736.0668505,887,430.6,-13,192.8004454,19277,130.4,-6470,5348.300776,25992,-227.2285714,-5491,7362.891995,4875,307.3142857,-4134,1930.763226
483,518,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7035,-60.34285714,-4283,2893.330789,6210,86.88571429,-7485,3015.690963,4413,173.6,-8320,3338.849125,1551,-406.3142857,-1165,556.1340175,3028,351.7428571,-151,666.302499,926,472.0285714,-42,184.4990811,19518,-64.14285714,-7657,5564.240829,26280,-483.8,-5512,6665.051841,5268,720.6571429,-4424,1848.231761
518,553,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,8232,52.37142857,-4631,2973.854115,7474,-61.34285714,-9815,3037.118138,4709,-130.0571429,-10032,3795.932296,1815,-390.8857143,-1154,586.0255852,3394,374.8571429,-226,768.1256845,839,434.7142857,-147,192.7986715,22156,91.31428571,-7545,5863.34241,29948,-252.4571429,-6260,7684.27181,4399,348.1714286,-5474,1931.171657
553,588,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7560,-27.48571429,-4730,2777.118358,10079,-290.4,-9890,3540.904888,4598,19.91428571,-9160,3428.114491,1667,-403.4857143,-1212,537.4873116,3423,335.0571429,-186,681.5938476,963,460.0857143,-143,215.7552223,20672,-35.51428571,-8128,5377.426918,30234,-650.7142857,-5864,6818.771834,5630,600.4285714,-5438,2161.591915
590,625,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7942,349.0285714,-4575,2945.424113,7535,-72.68571429,-8370,2847.577327,3255,-159.0285714,-8612,3263.968529,1545,-356.8285714,-1275,537.626072,2667,354.8571429,-240,705.5542312,962,462.6,-4,195.9667139,19454,431.8285714,-8758,5378.71455,22670,-452.1142857,-6401,7057.275802,5628,626.9142857,-4045,1963.031515
625,660,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7959,-3.914285714,-4075,2839.521028,9930,-150.0571429,-11047,3994.696263,3733,114.6,-9394,3422.974749,1378,-374.6857143,-1233,559.6395253,2760,378.4285714,-211,712.4629314,943,477.7428571,-10,199.3368923,17780,253.2285714,-8335,5599.292813,23604,-217.6857143,-6116,7127.303734,5435,778.8,-4102,1995.775152
626,661,jab_cross_shadowboxing_medium_20_T7R_1531551242371.txt,7959,-3.542857143,-4075,2839.379803,9930,-139.9714286,-11047,3995.446051,3733,112.4571429,-9394,3422.169774,1378,-375.3714286,-1233,559.613001,2760,375.9714286,-211,713.9212959,943,475.8,-10,197.9451499,17780,246.4571429,-8335,5599.023089,23604,-242.1714286,-6116,7141.829604,5435,759.3428571,-4102,1981.812242
