,gyroX,gyroY,gyroZ,lowAccelX,lowAccelY,lowAccelZ,highAccelX,highAccelY,highAccelZ,sport
0,150.0,-140.0,-66.0,-1978.0,330.0,583.0,-597.0,433.0,458.0,hwl
1,150.0,-137.0,-47.0,-1970.0,330.0,593.0,-597.0,433.0,459.0,hwl
2,153.0,-127.0,-37.0,-1979.0,324.0,594.0,-597.0,432.0,459.0,hwl
3,160.0,-114.0,-30.0,-2006.0,313.0,586.0,-600.0,431.0,458.0,hwl
4,166.0,-94.0,-27.0,-2026.0,329.0,600.0,-602.0,432.0,460.0,hwl
5,183.0,-77.0,-20.0,-2046.0,353.0,596.0,-604.0,435.0,459.0,hwl
6,193.0,-70.0,-16.0,-2057.0,364.0,586.0,-605.0,436.0,458.0,hwl
7,204.0,-70.0,-10.0,-2054.0,374.0,584.0,-605.0,437.0,458.0,hwl
8,210.0,-74.0,-18.0,-2044.0,376.0,590.0,-604.0,437.0,459.0,hwl
9,214.0,-84.0,-34.0,-2012.0,370.0,590.0,-601.0,437.0,459.0,hwl
10,240.0,-100.0,-65.0,-1955.0,365.0,565.0,-595.0,436.0,456.0,hwl
11,255.0,-105.0,-75.0,-1925.0,355.0,565.0,-592.0,435.0,456.0,hwl
12,270.0,-110.0,-85.0,-1920.0,340.0,580.0,-592.0,434.0,458.0,hwl
13,290.0,-110.0,-95.0,-1885.0,325.0,585.0,-588.0,432.0,458.0,hwl
14,305.0,-110.0,-100.0,-1855.0,332.0,580.0,-585.0,433.0,458.0,hwl
15,322.0,-116.0,-100.0,-1845.0,334.0,568.0,-584.0,433.0,456.0,hwl
16,342.0,-132.0,-106.0,-1840.0,330.0,560.0,-584.0,433.0,456.0,hwl
17,356.0,-152.0,-110.0,-1822.0,336.0,554.0,-582.0,433.0,455.0,hwl
18,366.0,-172.0,-110.0,-1816.0,352.0,550.0,-581.0,435.0,455.0,hwl
19,370.0,-198.0,-103.0,-1814.0,367.0,550.0,-581.0,436.0,455.0,hwl
20,370.0,-261.0,-93.0,-1844.0,404.0,557.0,-584.0,440.0,455.0,hwl
21,363.0,-284.0,-76.0,-1843.0,417.0,568.0,-584.0,441.0,456.0,hwl
22,353.0,-311.0,-54.0,-1826.0,428.0,578.0,-582.0,442.0,457.0,hwl
23,334.0,-336.0,-34.0,-1836.0,454.0,596.0,-583.0,445.0,459.0,hwl
24,314.0,-348.0,-14.0,-1832.0,468.0,592.0,-583.0,446.0,459.0,hwl
25,302.0,-358.0,-2.0,-1822.0,486.0,590.0,-582.0,448.0,459.0,hwl
26,284.0,-360.0,18.0,-1828.0,498.0,581.0,-582.0,449.0,458.0,hwl
27,262.0,-351.0,38.0,-1822.0,536.0,589.0,-582.0,453.0,458.0,hwl
28,251.0,-341.0,49.0,-1829.0,531.0,599.0,-582.0,453.0,459.0,hwl
29,241.0,-313.0,68.0,-1839.0,530.0,609.0,-583.0,453.0,460.0,hwl
30,220.0,-230.0,90.0,-1850.0,520.0,580.0,-585.0,452.0,458.0,hwl
31,220.0,-190.0,100.0,-1870.0,490.0,590.0,-587.0,449.0,459.0,hwl
32,210.0,-140.0,120.0,-1880.0,490.0,570.0,-588.0,449.0,457.0,hwl
33,220.0,-110.0,142.0,-1900.0,500.0,572.0,-590.0,450.0,457.0,hwl
34,220.0,-100.0,161.0,-1920.0,509.0,590.0,-592.0,450.0,459.0,hwl
35,230.0,-103.0,171.0,-1910.0,500.0,590.0,-591.0,450.0,459.0,hwl
36,231.0,-133.0,179.0,-1910.0,503.0,588.0,-591.0,450.0,458.0,hwl
37,240.0,-164.0,169.0,-1910.0,532.0,570.0,-591.0,453.0,457.0,hwl
38,240.0,-205.0,158.0,-1909.0,548.0,572.0,-590.0,454.0,457.0,hwl
39,242.0,-256.0,146.0,-1896.0,540.0,580.0,-589.0,454.0,458.0,hwl
40,262.0,-302.0,106.0,-1880.0,550.0,610.0,-588.0,455.0,461.0,hwl
41,272.0,-306.0,87.0,-1874.0,544.0,607.0,-587.0,454.0,460.0,hwl
42,286.0,-284.0,74.0,-1850.0,533.0,594.0,-585.0,453.0,459.0,hwl
43,303.0,-261.0,57.0,-1844.0,546.0,577.0,-584.0,454.0,457.0,hwl
44,316.0,-234.0,44.0,-1830.0,560.0,570.0,-583.0,456.0,457.0,hwl
45,333.0,-211.0,24.0,-1839.0,560.0,562.0,-583.0,456.0,456.0,hwl
46,343.0,-186.0,6.0,-1860.0,572.0,554.0,-586.0,457.0,455.0,hwl
47,354.0,-184.0,-12.0,-1860.0,582.0,564.0,-586.0,458.0,456.0,hwl
48,360.0,-190.0,-46.0,-1864.0,570.0,582.0,-586.0,457.0,458.0,hwl
49,356.0,-198.0,-78.0,-1882.0,566.0,616.0,-588.0,456.0,461.0,hwl
50,335.0,-255.0,-120.0,-1935.0,575.0,645.0,-593.0,457.0,464.0,hwl
51,325.0,-290.0,-135.0,-1970.0,585.0,655.0,-597.0,458.0,465.0,hwl
52,310.0,-320.0,-140.0,-2010.0,610.0,655.0,-601.0,461.0,465.0,hwl
53,285.0,-350.0,-140.0,-2020.0,654.0,650.0,-602.0,465.0,465.0,hwl
54,252.0,-388.0,-134.0,-2020.0,688.0,656.0,-602.0,468.0,465.0,hwl
55,210.0,-406.0,-130.0,-2072.0,730.0,672.0,-607.0,473.0,467.0,hwl
56,166.0,-404.0,-124.0,-2112.0,774.0,704.0,-611.0,477.0,470.0,hwl
57,120.0,-388.0,-120.0,-2114.0,796.0,755.0,-611.0,479.0,475.0,hwl
58,76.0,-362.0,-127.0,-2074.0,807.0,777.0,-607.0,480.0,477.0,hwl
59,39.0,-308.0,-144.0,-2012.0,789.0,808.0,-601.0,478.0,480.0,hwl
60,0.0,-113.0,-235.0,-1989.0,691.0,852.0,-598.0,469.0,485.0,hwl
61,-7.0,-24.0,-298.0,-1952.0,582.0,874.0,-595.0,458.0,487.0,hwl
62,-10.0,80.0,-350.0,-1912.0,536.0,880.0,-591.0,453.0,488.0,hwl
63,-10.0,180.0,-400.0,-1916.0,490.0,880.0,-591.0,449.0,488.0,hwl
64,-2.0,256.0,-458.0,-1952.0,464.0,840.0,-595.0,446.0,484.0,hwl
65,0.0,310.0,-510.0,-2000.0,468.0,812.0,-600.0,446.0,481.0,hwl
66,0.0,336.0,-556.0,-2058.0,443.0,801.0,-605.0,444.0,480.0,hwl
