gyroX,gyroY,gyroZ,lowAccelX,lowAccelY,lowAccelZ,highAccelX,highAccelY,highAccelZ
-62.0,-283.0,47.0,-1852.0,-336.0,820.0,-585.0,367.0,482.0
-73.0,-293.0,40.0,-1811.0,-356.0,808.0,-581.0,365.0,480.0
-83.0,-300.0,40.0,-1793.0,-367.0,762.0,-579.0,364.0,476.0
-87.0,-303.0,40.0,-1758.0,-399.0,708.0,-575.0,361.0,470.0
-59.0,-274.0,40.0,-1702.0,-427.0,641.0,-570.0,358.0,464.0
2.0,-133.0,44.0,-1797.0,-301.0,514.0,-579.0,370.0,451.0
42.0,44.0,66.0,-1790.0,-334.0,472.0,-579.0,367.0,447.0
76.0,154.0,102.0,-1802.0,-302.0,522.0,-580.0,370.0,452.0
104.0,240.0,128.0,-1824.0,-306.0,602.0,-582.0,370.0,460.0
118.0,270.0,140.0,-1838.0,-326.0,678.0,-583.0,368.0,467.0
140.0,215.0,130.0,-1870.0,-355.0,715.0,-587.0,365.0,471.0
140.0,130.0,125.0,-1850.0,-380.0,695.0,-585.0,362.0,469.0
135.0,25.0,115.0,-1840.0,-405.0,702.0,-584.0,360.0,470.0
120.0,-96.0,104.0,-1830.0,-456.0,728.0,-583.0,355.0,472.0
104.0,-212.0,100.0,-1796.0,-504.0,764.0,-579.0,350.0,476.0
94.0,-320.0,94.0,-1768.0,-544.0,792.0,-576.0,346.0,479.0
84.0,-402.0,84.0,-1754.0,-578.0,800.0,-575.0,343.0,480.0
74.0,-466.0,73.0,-1744.0,-608.0,800.0,-574.0,340.0,480.0
63.0,-511.0,70.0,-1722.0,-634.0,786.0,-572.0,337.0,478.0
53.0,-534.0,77.0,-1703.0,-647.0,787.0,-570.0,336.0,478.0
50.0,-550.0,90.0,-1754.0,-588.0,804.0,-575.0,342.0,480.0
58.0,-534.0,90.0,-1774.0,-556.0,826.0,-577.0,345.0,482.0
60.0,-506.0,82.0,-1820.0,-542.0,806.0,-582.0,346.0,480.0
68.0,-476.0,80.0,-1838.0,-492.0,768.0,-583.0,351.0,476.0
78.0,-438.0,72.0,-1856.0,-448.0,776.0,-585.0,356.0,477.0
88.0,-398.0,70.0,-1876.0,-440.0,780.0,-587.0,356.0,478.0
108.0,-354.0,61.0,-1880.0,-422.0,789.0,-588.0,358.0,478.0
137.0,-314.0,60.0,-1880.0,-411.0,826.0,-588.0,359.0,482.0
167.0,-283.0,51.0,-1889.0,-419.0,884.0,-588.0,359.0,488.0
188.0,-280.0,50.0,-1890.0,-393.0,870.0,-589.0,361.0,487.0
230.0,-340.0,60.0,-1890.0,-350.0,830.0,-589.0,365.0,483.0
240.0,-400.0,50.0,-1860.0,-320.0,853.0,-586.0,368.0,485.0
240.0,-480.0,38.0,-1860.0,-309.0,886.0,-586.0,370.0,488.0
250.0,-568.0,18.0,-1850.0,-292.0,945.0,-585.0,371.0,494.0
248.0,-648.0,-1.0,-1934.0,-212.0,997.0,-593.0,379.0,499.0
225.0,-733.0,-9.0,-1963.0,-136.0,1070.0,-596.0,387.0,507.0
173.0,-866.0,1.0,-1893.0,-91.0,1167.0,-589.0,391.0,516.0
102.0,-1027.0,12.0,-1816.0,-6.0,1242.0,-581.0,400.0,524.0
23.0,-1210.0,26.0,-1664.0,-4.0,1312.0,-566.0,400.0,531.0
-44.0,-1332.0,58.0,-1400.0,-120.0,1402.0,-540.0,388.0,540.0
-38.0,-1034.0,97.0,-1370.0,32.0,1354.0,-537.0,403.0,535.0
-26.0,-735.0,93.0,-1454.0,-43.0,1258.0,-545.0,396.0,525.0
-7.0,-497.0,106.0,-1497.0,-71.0,1239.0,-549.0,393.0,523.0
0.0,-296.0,120.0,-1581.0,-147.0,1263.0,-558.0,386.0,526.0
6.0,-134.0,120.0,-1645.0,-231.0,1267.0,-564.0,377.0,526.0
26.0,-35.0,117.0,-1683.0,-295.0,1236.0,-568.0,371.0,523.0
43.0,-6.0,102.0,-1684.0,-350.0,1152.0,-568.0,365.0,515.0
58.0,-32.0,82.0,-1661.0,-392.0,1082.0,-566.0,361.0,508.0
82.0,-66.0,62.0,-1644.0,-422.0,1040.0,-564.0,358.0,504.0
104.0,-98.0,46.0,-1658.0,-452.0,1044.0,-565.0,355.0,504.0
135.0,-190.0,20.0,-1674.0,-470.0,1080.0,-567.0,353.0,508.0
150.0,-245.0,5.0,-1685.0,-430.0,1095.0,-568.0,357.0,509.0
165.0,-285.0,-5.0,-1700.0,-360.0,1095.0,-570.0,364.0,509.0
175.0,-310.0,-10.0,-1720.0,-270.0,1130.0,-572.0,373.0,513.0
180.0,-315.0,-10.0,-1735.0,-210.0,1178.0,-573.0,379.0,517.0
185.0,-285.0,-4.0,-1745.0,-152.0,1214.0,-574.0,385.0,521.0
190.0,-230.0,0.0,-1750.0,-90.0,1266.0,-575.0,391.0,526.0
190.0,-168.0,0.0,-1744.0,-88.0,1284.0,-574.0,392.0,528.0
196.0,-104.0,6.0,-1722.0,-118.0,1250.0,-572.0,389.0,525.0
206.0,-56.0,10.0,-1686.0,-130.0,1188.0,-568.0,387.0,518.0
244.0,-3.0,3.0,-1626.0,-171.0,1068.0,-562.0,383.0,506.0
271.0,0.0,0.0,-1620.0,-187.0,1029.0,-562.0,382.0,502.0
294.0,-14.0,-14.0,-1620.0,-190.0,1013.0,-562.0,381.0,501.0
314.0,-48.0,-34.0,-1620.0,-197.0,1024.0,-562.0,381.0,502.0
327.0,-74.0,-64.0,-1613.0,-186.0,1030.0,-561.0,382.0,503.0
330.0,-72.0,-86.0,-1596.0,-180.0,1046.0,-559.0,382.0,504.0
330.0,-54.0,-114.0,-1606.0,-124.0,1034.0,-560.0,388.0,503.0
330.0,-26.0,-136.0,-1618.0,-86.0,1006.0,-561.0,392.0,500.0
338.0,-4.0,-140.0,-1684.0,-40.0,1008.0,-568.0,396.0,500.0
356.0,-8.0,-124.0,-1796.0,-22.0,1060.0,-579.0,398.0,506.0
397.0,-85.0,-72.0,-1934.0,-86.0,1101.0,-593.0,392.0,510.0
400.0,-126.0,-52.0,-1949.0,-171.0,1182.0,-594.0,383.0,518.0
409.0,-157.0,-41.0,-1914.0,-252.0,1208.0,-591.0,375.0,520.0
401.0,-187.0,-40.0,-1811.0,-287.0,1220.0,-581.0,372.0,522.0
409.0,-200.0,-50.0,-1683.0,-290.0,1290.0,-568.0,371.0,529.0
400.0,-170.0,-70.0,-1510.0,-290.0,1250.0,-551.0,371.0,525.0
410.0,-130.0,-90.0,-1400.0,-210.0,1160.0,-540.0,379.0,516.0
430.0,-90.0,-100.0,-1400.0,-190.0,1062.0,-540.0,381.0,506.0
450.0,-30.0,-111.0,-1420.0,-83.0,984.0,-542.0,392.0,498.0
482.0,-1.0,-120.0,-1625.0,-20.0,933.0,-562.0,398.0,493.0
512.0,-120.0,-141.0,-1829.0,0.0,1001.0,-582.0,400.0,500.0
530.0,-216.0,-154.0,-1813.0,0.0,1012.0,-581.0,400.0,501.0
529.0,-278.0,-174.0,-1743.0,4.0,1032.0,-574.0,400.0,503.0
516.0,-322.0,-194.0,-1666.0,14.0,1084.0,-566.0,401.0,508.0
494.0,-380.0,-214.0,-1608.0,-12.0,1108.0,-560.0,399.0,510.0
466.0,-438.0,-238.0,-1596.0,-24.0,1126.0,-559.0,398.0,512.0
446.0,-538.0,-276.0,-1568.0,-32.0,1040.0,-556.0,397.0,504.0
428.0,-678.0,-309.0,-1518.0,-6.0,979.0,-551.0,400.0,497.0
417.0,-823.0,-342.0,-1495.0,-11.0,1006.0,-549.0,399.0,500.0
407.0,-918.0,-379.0,-1457.0,-2.0,1026.0,-545.0,400.0,502.0
403.0,-974.0,-438.0,-1430.0,-46.0,1166.0,-543.0,396.0,516.0
401.0,-936.0,-458.0,-1412.0,-2.0,1286.0,-541.0,400.0,528.0
368.0,-860.0,-474.0,-1386.0,10.0,1352.0,-538.0,401.0,535.0
338.0,-756.0,-484.0,-1410.0,-6.0,1354.0,-541.0,400.0,535.0
320.0,-650.0,-490.0,-1430.0,-58.0,1342.0,-543.0,395.0,534.0
328.0,-558.0,-495.0,-1456.0,-76.0,1390.0,-545.0,393.0,539.0
340.0,-482.0,-505.0,-1454.0,-40.0,1470.0,-545.0,396.0,547.0
330.0,-410.0,-510.0,-1485.0,-95.0,1535.0,-548.0,391.0,553.0
325.0,-370.0,-510.0,-1520.0,-150.0,1535.0,-552.0,385.0,553.0
330.0,-345.0,-510.0,-1520.0,-155.0,1495.0,-552.0,385.0,549.0
358.0,-302.0,-510.0,-1426.0,-144.0,1452.0,-542.0,386.0,545.0
382.0,-266.0,-504.0,-1406.0,-110.0,1422.0,-540.0,389.0,542.0
402.0,-226.0,-506.0,-1390.0,-84.0,1440.0,-539.0,392.0,544.0
428.0,-192.0,-516.0,-1384.0,-38.0,1466.0,-538.0,397.0,546.0
452.0,-174.0,-534.0,-1374.0,-16.0,1449.0,-537.0,399.0,544.0
460.0,-177.0,-554.0,-1328.0,1.0,1426.0,-532.0,400.0,542.0
474.0,-194.0,-574.0,-1307.0,38.0,1357.0,-530.0,403.0,535.0
501.0,-235.0,-587.0,-1310.0,71.0,1316.0,-531.0,407.0,531.0
538.0,-313.0,-597.0,-1387.0,80.0,1303.0,-538.0,408.0,530.0
571.0,-424.0,-616.0,-1490.0,72.0,1220.0,-549.0,407.0,522.0
616.0,-756.0,-588.0,-1330.0,62.0,1268.0,-533.0,406.0,526.0
644.0,-926.0,-524.0,-1200.0,76.0,1371.0,-520.0,407.0,537.0
682.0,-1056.0,-465.0,-1156.0,89.0,1389.0,-515.0,408.0,538.0
744.0,-1080.0,-451.0,-1141.0,45.0,1336.0,-514.0,404.0,533.0
813.0,-990.0,-441.0,-1104.0,49.0,1303.0,-510.0,404.0,530.0
883.0,-863.0,-440.0,-1091.0,5.0,1300.0,-509.0,400.0,530.0
953.0,-688.0,-440.0,-1126.0,-36.0,1310.0,-512.0,397.0,531.0
1014.0,-460.0,-450.0,-1193.0,-10.0,1280.0,-519.0,399.0,528.0
1070.0,-250.0,-450.0,-1250.0,-30.0,1310.0,-525.0,397.0,531.0
1090.0,-80.0,-450.0,-1280.0,-20.0,1350.0,-528.0,398.0,535.0
1088.0,211.0,-516.0,-1313.0,19.0,1407.0,-531.0,401.0,540.0
1070.0,316.0,-576.0,-1343.0,7.0,1476.0,-534.0,400.0,547.0
1071.0,373.0,-635.0,-1375.0,-15.0,1531.0,-537.0,399.0,553.0
1081.0,402.0,-694.0,-1433.0,31.0,1524.0,-543.0,403.0,552.0
1091.0,420.0,-758.0,-1558.0,44.0,1454.0,-555.0,404.0,545.0
1102.0,420.0,-792.0,-1620.0,62.0,1438.0,-562.0,406.0,543.0
1114.0,424.0,-798.0,-1558.0,74.0,1468.0,-555.0,407.0,546.0
1136.0,446.0,-786.0,-1474.0,86.0,1482.0,-547.0,408.0,548.0
1168.0,478.0,-770.0,-1498.0,79.0,1615.0,-549.0,407.0,561.0
1206.0,525.0,-770.0,-1528.0,115.0,1717.0,-552.0,411.0,571.0
1247.0,622.0,-802.0,-1517.0,271.0,1618.0,-551.0,427.0,561.0
1234.0,665.0,-846.0,-1607.0,336.0,1558.0,-560.0,433.0,555.0
1204.0,728.0,-886.0,-1674.0,368.0,1486.0,-567.0,436.0,548.0
1168.0,798.0,-918.0,-1672.0,368.0,1454.0,-567.0,436.0,545.0
1142.0,880.0,-930.0,-1652.0,358.0,1528.0,-565.0,435.0,552.0
1130.0,976.0,-934.0,-1636.0,374.0,1705.0,-563.0,437.0,570.0
1126.0,1070.0,-950.0,-1654.0,390.0,1770.0,-565.0,439.0,577.0
1110.0,1180.0,-970.0,-1715.0,470.0,1700.0,-571.0,447.0,570.0
1060.0,1270.0,-985.0,-1770.0,480.0,1535.0,-577.0,448.0,553.0
1005.0,1330.0,-1005.0,-1790.0,480.0,1345.0,-579.0,448.0,534.0
944.0,1420.0,-1074.0,-1892.0,512.0,1248.0,-589.0,451.0,524.0
934.0,1458.0,-1102.0,-2018.0,538.0,1376.0,-601.0,453.0,537.0
906.0,1458.0,-1122.0,-2118.0,568.0,1512.0,-611.0,456.0,551.0
848.0,1390.0,-1144.0,-2150.0,604.0,1546.0,-615.0,460.0,554.0
748.0,1266.0,-1185.0,-2168.0,627.0,1463.0,-616.0,462.0,546.0
602.0,1146.0,-1228.0,-2187.0,595.0,1297.0,-618.0,459.0,529.0
483.0,1019.0,-1289.0,-2155.0,573.0,1149.0,-615.0,457.0,514.0
387.0,931.0,-1345.0,-2105.0,514.0,1047.0,-610.0,451.0,504.0
304.0,931.0,-1384.0,-2062.0,426.0,892.0,-606.0,442.0,489.0
256.0,1036.0,-1398.0,-2001.0,346.0,828.0,-600.0,434.0,482.0
282.0,1382.0,-1380.0,-1978.0,194.0,1007.0,-597.0,419.0,500.0
330.0,1540.0,-1389.0,-2094.0,171.0,1083.0,-609.0,417.0,508.0
349.0,1651.0,-1399.0,-2210.0,179.0,1045.0,-621.0,417.0,504.0
323.0,1660.0,-1427.0,-2256.0,153.0,851.0,-625.0,415.0,485.0
266.0,1588.0,-1475.0,-2251.0,132.0,668.0,-625.0,413.0,466.0
188.0,1490.0,-1552.0,-2250.0,58.0,520.0,-625.0,405.0,452.0
108.0,1390.0,-1640.0,-2232.0,10.0,480.0,-623.0,401.0,448.0
40.0,1330.0,-1750.0,-2180.0,-100.0,430.0,-618.0,390.0,443.0
0.0,1330.0,-1860.0,-2150.0,-170.0,390.0,-615.0,383.0,439.0
0.0,1400.0,-1969.0,-2110.0,-210.0,358.0,-611.0,379.0,435.0
54.0,1630.0,-2161.0,-2149.0,-321.0,283.0,-614.0,368.0,428.0
95.0,1728.0,-2271.0,-2234.0,-334.0,210.0,-623.0,367.0,421.0
144.0,1801.0,-2390.0,-2269.0,-374.0,118.0,-626.0,363.0,411.0
184.0,1804.0,-2492.0,-2259.0,-418.0,104.0,-625.0,359.0,410.0
226.0,1770.0,-2600.0,-2246.0,-458.0,68.0,-624.0,355.0,406.0
256.0,1714.0,-2696.0,-2222.0,-510.0,10.0,-622.0,349.0,401.0
286.0,1628.0,-2772.0,-2174.0,-608.0,-18.0,-617.0,340.0,399.0
316.0,1518.0,-2832.0,-2094.0,-698.0,33.0,-609.0,331.0,403.0
346.0,1394.0,-2866.0,-2015.0,-761.0,43.0,-601.0,324.0,404.0
366.0,1274.0,-2880.0,-1962.0,-840.0,59.0,-596.0,316.0,405.0
377.0,1088.0,-2848.0,-1886.0,-1000.0,104.0,-588.0,300.0,410.0
362.0,1040.0,-2810.0,-1821.0,-1080.0,164.0,-582.0,292.0,416.0
346.0,1010.0,-2752.0,-1760.0,-1126.0,192.0,-576.0,288.0,419.0
340.0,1026.0,-2678.0,-1636.0,-1162.0,156.0,-563.0,284.0,415.0
344.0,1062.0,-2594.0,-1488.0,-1196.0,125.0,-548.0,281.0,412.0
358.0,1110.0,-2490.0,-1374.0,-1250.0,180.0,-537.0,275.0,418.0
380.0,1150.0,-2390.0,-1290.0,-1295.0,325.0,-529.0,271.0,432.0
395.0,1150.0,-2285.0,-1225.0,-1345.0,480.0,-522.0,266.0,448.0
400.0,1115.0,-2180.0,-1155.0,-1400.0,565.0,-515.0,260.0,456.0
395.0,1050.0,-2070.0,-1090.0,-1430.0,554.0,-509.0,257.0,455.0
358.0,810.0,-1838.0,-998.0,-1474.0,470.0,-499.0,253.0,447.0
332.0,672.0,-1718.0,-940.0,-1520.0,446.0,-494.0,248.0,444.0
338.0,542.0,-1586.0,-854.0,-1510.0,318.0,-485.0,249.0,431.0
